Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0140     21163654805.3245 21163654799.5049       5.8195  1667.5
0.0150     21180008131.7445 21180008125.7051       6.0394  1730.5
0.0160     21025212377.3862 21025212365.9392      11.4470  3279.9
0.0170     21006177585.6158 21006177558.8062      26.8096  7681.8
0.0180     21478406499.3821 21478406472.5234      26.8587  7695.9
0.0190     21086896874.8356 21086896847.9571      26.8785  7701.5
0.0200     21225268028.5436 21225268001.6427      26.9009  7708.0
0.0210     21391879397.1572 21391879370.2145      26.9427  7719.9
0.0220     20774048486.1927 20774048458.9969      27.1958  7792.5
0.0230     21301237918.9697 21301237891.5138      27.4559  7867.0
0.0240     21429504194.3837 21429504166.9115      27.4722  7871.7
0.0250     21754695815.1575 21754695787.6676      27.4899  7876.7
0.0260     21257294442.2903 21257294414.7689      27.5214  7885.7
0.0270     21439255614.0819 21439255586.5266      27.5553  7895.5
0.0280     22091781874.6805 22091781847.0871      27.5934  7906.4
0.0290     21687471551.3783 21687471523.7548      27.6234  7915.0
0.0300     21527992602.6981 21527992575.0543      27.6438  7920.8
0.0310     21172271183.7757 21172271156.5238      27.2519  7808.5
0.0320     21952360720.5129 21952360693.6607      26.8521  7694.0
0.0330     21826392939.2404 21826392912.1576      27.0829  7760.1
0.0340     22276933503.3279 22276933475.6251      27.7029  7937.7
0.0350     22120414690.6769 22120414662.9058      27.7711  7957.3
0.0360     21912250825.5536 21912250797.7711      27.7825  7960.5
0.0370     22042439948.8802 22042439920.5133      28.3669  8128.0
0.0380     21982051395.7993 21982051367.3872      28.4121  8140.9
0.0390     21935583680.4466 21935583652.0082      28.4384  8148.5
0.0400     21231431204.3121 21231431175.8540      28.4581  8154.1
0.0410     21622754648.8338 21622754620.3791      28.4548  8153.2
0.0420     22293623863.9265 22293623835.4483      28.4782  8159.9
0.0430     22045885957.0133 22045885928.5400      28.4733  8158.5
0.0440     21788194049.5935 21788194021.1217      28.4718  8158.1
0.0450     22209121789.3523 22209121760.7892      28.5631  8184.2
0.0460     22338980602.2460 22338980573.5063      28.7397  8234.8
0.0470     22212383927.7109 22212383898.4989      29.2120  8370.1
0.0480     22085477859.3055 22085477829.5641      29.7414  8521.9
0.0490     22129065402.2016 22129065338.5447      63.6569  18239.7
0.0500     22321964853.6528 22321964789.9915      63.6613  18241.0
0.0510     22290688280.0257 22290688216.3683      63.6574  18239.8
0.0520     22587431241.2988 22587431177.6178      63.6809  18246.6
0.0530     22218559970.2500 22218559906.5655      63.6846  18247.6
0.0540     22070008856.5491 22070008792.8277      63.7214  18258.2
0.0550     22553481313.8269 22553481250.0689      63.7581  18268.7
0.0560     22344192028.3053 22344191964.4683      63.8371  18291.3
0.0570     22064560985.5184 22064560921.5557      63.9627  18327.3
0.0580     22148079080.5834 22148079016.6480      63.9354  18319.5
0.0590     22327537048.3977 22327536984.4850      63.9126  18313.0
